Variable_Name,Variable_ID,Table_ID,Table_Name,Type,Unit,Full_Name
All PEOPLE,ni0010001,ni001,Household: Accommodation Type - 3 Categories,Count,Person,Household: Accommodation Type - 3 Categories: All PEOPLE
Whole house or bungalow,ni0010002,ni001,Household: Accommodation Type - 3 Categories,Count,Person,Household: Accommodation Type - 3 Categories: Whole house or bungalow
"Flat, maisonette or apartment, a caravan or other mobile or temporary structure",ni0010003,ni001,Household: Accommodation Type - 3 Categories,Count,Person,"Household: Accommodation Type - 3 Categories: Flat, maisonette or apartment, a caravan or other mobile or temporary structure"
All PEOPLE,ni0020001,ni002,Household: Accommodation Type - 5 Categories,Count,Person,Household: Accommodation Type - 5 Categories: All PEOPLE
Whole house or bungalow: Detached,ni0020002,ni002,Household: Accommodation Type - 5 Categories,Count,Person,Household: Accommodation Type - 5 Categories: Whole house or bungalow: Detached
Whole house or bungalow: Semi-detached,ni0020003,ni002,Household: Accommodation Type - 5 Categories,Count,Person,Household: Accommodation Type - 5 Categories: Whole house or bungalow: Semi-detached
Whole house or bungalow: Terraced (including end-terrace),ni0020004,ni002,Household: Accommodation Type - 5 Categories,Count,Person,Household: Accommodation Type - 5 Categories: Whole house or bungalow: Terraced (including end-terrace)
"Flat, maisonette or apartment, a caravan or other mobile or temporary structure",ni0020005,ni002,Household: Accommodation Type - 5 Categories,Count,Person,"Household: Accommodation Type - 5 Categories: Flat, maisonette or apartment, a caravan or other mobile or temporary structure"
All PEOPLE,ni0030001,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: All PEOPLE
Whole house or bungalow: Detached,ni0030002,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: Whole house or bungalow: Detached
Whole house or bungalow: Semi-detached,ni0030003,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: Whole house or bungalow: Semi-detached
Whole house or bungalow: Terraced (including end-terrace),ni0030004,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: Whole house or bungalow: Terraced (including end-terrace)
"Flat, maisonette or apartment: Purpose-built block of flats",ni0030005,ni003,Household: Accommodation Type,Count,Person,"Household: Accommodation Type: Flat, maisonette or apartment: Purpose-built block of flats"
"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",ni0030006,ni003,Household: Accommodation Type,Count,Person,"Household: Accommodation Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)"
"Flat, maisonette or apartment: In a commercial building (for example in an office building, hotel, or over a shop)",ni0030007,ni003,Household: Accommodation Type,Count,Person,"Household: Accommodation Type: Flat, maisonette or apartment: In a commercial building (for example in an office building, hotel, or over a shop)"
Caravan or other mobile or temporary structure,ni0030008,ni003,Household: Accommodation Type,Count,Person,Household: Accommodation Type: Caravan or other mobile or temporary structure
All PEOPLE,ni0040001,ni004,Address One Year Ago,Count,Person,Address One Year Ago: All PEOPLE
Lived at same address one year ago,ni0040002,ni004,Address One Year Ago,Count,Person,Address One Year Ago: Lived at same address one year ago
Lived elsewhere one year ago; within Northern Ireland,ni0040003,ni004,Address One Year Ago,Count,Person,Address One Year Ago: Lived elsewhere one year ago; within Northern Ireland
