old_names,new_names,Table_ID,Table_Name,Type,Variable_Name
Number of rooms (VOA): Total: All households,ts0510001,ts051,Number of rooms (VOA),,
Number of rooms (VOA): 1 room,ts0510002,ts051,Number of rooms (VOA),,
Number of rooms (VOA): 2 rooms,ts0510003,ts051,Number of rooms (VOA),,
Number of rooms (VOA): 3 rooms,ts0510004,ts051,Number of rooms (VOA),,
Number of rooms (VOA): 4 rooms,ts0510005,ts051,Number of rooms (VOA),,
Number of rooms (VOA): 5 rooms,ts0510006,ts051,Number of rooms (VOA),,
Number of rooms (VOA): 6 rooms,ts0510007,ts051,Number of rooms (VOA),,
Number of rooms (VOA): 7 rooms,ts0510008,ts051,Number of rooms (VOA),,
Number of rooms (VOA): 8 rooms,ts0510009,ts051,Number of rooms (VOA),,
Number of rooms (VOA): 9 or more rooms,ts0510010,ts051,Number of rooms (VOA),,
Type of central heating in household: Total: All households,ts0460001,ts046,Type of central heating in household,,
Type of central heating in household: No central heating,ts0460002,ts046,Type of central heating in household,,
Type of central heating in household: Mains gas only,ts0460003,ts046,Type of central heating in household,,
Type of central heating in household: Tank or bottled gas only,ts0460004,ts046,Type of central heating in household,,
Type of central heating in household: Electric only,ts0460005,ts046,Type of central heating in household,,
Type of central heating in household: Oil only,ts0460006,ts046,Type of central heating in household,,
Type of central heating in household: Wood only,ts0460007,ts046,Type of central heating in household,,
Type of central heating in household: Solid fuel only,ts0460008,ts046,Type of central heating in household,,
Type of central heating in household: Renewable energy only,ts0460009,ts046,Type of central heating in household,,
Type of central heating in household: District or communal heat networks only,ts0460010,ts046,Type of central heating in household,,
Type of central heating in household: Other central heating only,ts0460011,ts046,Type of central heating in household,,
Type of central heating in household: Two or more types of central heating (not including renewable energy),ts0460012,ts046,Type of central heating in household,,
Type of central heating in household: Two or more types of central heating (including renewable energy),ts0460013,ts046,Type of central heating in household,,
General health: Total: All usual residents,ts0370001,ts037,General health,,
General health: Very good health,ts0370002,ts037,General health,,
General health: Good health,ts0370003,ts037,General health,,
General health: Fair health,ts0370004,ts037,General health,,
General health: Bad health,ts0370005,ts037,General health,,
General health: Very bad health,ts0370006,ts037,General health,,
Length of residence in the UK: Total: All usual residents; measures: Value,ts0160001,ts016,Length of residence in the UK,Value,
Length of residence in the UK: Born in the UK; measures: Value,ts0160002,ts016,Length of residence in the UK,Value,
Length of residence in the UK: 10 years or more; measures: Value,ts0160003,ts016,Length of residence in the UK,Value,
"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value",ts0160004,ts016,Length of residence in the UK,Value,
"Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",ts0160005,ts016,Length of residence in the UK,Value,
Length of residence in the UK: Less than 2 years; measures: Value,ts0160006,ts016,Length of residence in the UK,Value,
Number of disabled people in household: Total: All households,ts0400001,ts040,Number of disabled people in household,,
Number of disabled people in household: No people disabled under the Equality Act in household,ts0400002,ts040,Number of disabled people in household,,
Number of disabled people in household: 1 person disabled under the Equality Act in household,ts0400003,ts040,Number of disabled people in household,,
Number of disabled people in household: 2 or more people disabled under the Equality Act in household,ts0400004,ts040,Number of disabled people in household,,
Sex: All persons; measures: Value,ts0200001,ts020,Sex,Value,
Sex: Female; measures: Value,ts0200002,ts020,Sex,Value,
Sex: Male; measures: Value,ts0200003,ts020,Sex,Value,
Household composition: Total; measures: Value,ts0030001,ts003,Household composition,Value,
Household composition: One person household; measures: Value,ts0030002,ts003,Household composition,Value,
Household composition: One person household: Aged 66 years and over; measures: Value,ts0030003,ts003,Household composition,Value,
Household composition: One person household: Other; measures: Value,ts0030004,ts003,Household composition,Value,
Household composition: Single family household; measures: Value,ts0030005,ts003,Household composition,Value,
Household composition: Single family household: All aged 66 years and over; measures: Value,ts0030006,ts003,Household composition,Value,
Household composition: Single family household: Married or civil partnership couple; measures: Value,ts0030007,ts003,Household composition,Value,
Household composition: Single family household: Married or civil partnership couple: No children; measures: Value,ts0030008,ts003,Household composition,Value,
Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value,ts0030009,ts003,Household composition,Value,
Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value,ts0030010,ts003,Household composition,Value,
Household composition: Single family household: Cohabiting couple family; measures: Value,ts0030011,ts003,Household composition,Value,
Household composition: Single family household: Cohabiting couple family: No children; measures: Value,ts0030012,ts003,Household composition,Value,
Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value,ts0030013,ts003,Household composition,Value,
Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value,ts0030014,ts003,Household composition,Value,
Household composition: Single family household: Lone parent family; measures: Value,ts0030015,ts003,Household composition,Value,
Household composition: Single family household: Lone parent family: With dependent children; measures: Value,ts0030016,ts003,Household composition,Value,
Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value,ts0030017,ts003,Household composition,Value,
Household composition: Single family household: Other single family household; measures: Value,ts0030018,ts003,Household composition,Value,
Household composition: Single family household: Other single family household: Other family composition; measures: Value,ts0030019,ts003,Household composition,Value,
Household composition: Other household types; measures: Value,ts0030020,ts003,Household composition,Value,
Household composition: Other household types: With dependent children; measures: Value,ts0030021,ts003,Household composition,Value,
"Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value",ts0030022,ts003,Household composition,Value,
Welsh speaking ability: Total: All usual residents aged 3 years and over,ts0330001,ts033,Welsh speaking ability,,
Welsh speaking ability: Cannot speak Welsh,ts0330002,ts033,Welsh speaking ability,,
Welsh speaking ability: Can speak Welsh,ts0330003,ts033,Welsh speaking ability,,
Household language (English and Welsh): Total: All households,ts0250001,ts025,Household language (English and Welsh),,
"Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language",ts0250002,ts025,Household language (English and Welsh),,
"Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",ts0250003,ts025,Household language (English and Welsh),,
"Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",ts0250004,ts025,Household language (English and Welsh),,
"Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language",ts0250005,ts025,Household language (English and Welsh),,
Disability: Total: All usual residents,ts0380001,ts038,Disability,,
Disability: Disabled under the Equality Act,ts0380002,ts038,Disability,,
Disability: Disabled under the Equality Act: Day-to-day activities limited a lot,ts0380003,ts038,Disability,,
Disability: Disabled under the Equality Act: Day-to-day activities limited a little,ts0380004,ts038,Disability,,
Disability: Not disabled under the Equality Act,ts0380005,ts038,Disability,,
Disability: Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,ts0380006,ts038,Disability,,
Disability: Not disabled under the Equality Act: No long term physical or mental health conditions,ts0380007,ts038,Disability,,
National identity: Total: All usual residents,ts0270001,ts027,National identity,,
National identity: British only identity,ts0270002,ts027,National identity,,
National identity: English only identity,ts0270003,ts027,National identity,,
National identity: English and British only identity,ts0270004,ts027,National identity,,
National identity: Welsh only identity,ts0270005,ts027,National identity,,
National identity: Welsh and British only identity,ts0270006,ts027,National identity,,
National identity: Any other combination of only UK identities,ts0270007,ts027,National identity,,
National identity: Scottish only identity,ts0270008,ts027,National identity,,
National identity: Scottish and British only identity,ts0270009,ts027,National identity,,
National identity: Northern Irish only identity,ts0270010,ts027,National identity,,
National identity: Northern Irish and British only identity,ts0270011,ts027,National identity,,
National identity: Cornish only identity,ts0270012,ts027,National identity,,
National identity: Cornish and British only identity,ts0270013,ts027,National identity,,
National identity: Any other combination of only UK identities ,ts0270014,ts027,National identity,,
National identity: Irish only identity,ts0270015,ts027,National identity,,
National identity: Irish and at least one UK identity,ts0270016,ts027,National identity,,
National identity: Other identity only,ts0270017,ts027,National identity,,
National identity: Other identity and at least one UK identity,ts0270018,ts027,National identity,,
National identity: Non-UK identity only,ts0270019,ts027,National identity,,
National identity: UK identity and non-UK identity,ts0270020,ts027,National identity,,
Marital and civil partnership status: Total; measures: Value,ts0020001,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value,ts0020002,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Married or in a registered civil partnership; measures: Value,ts0020003,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value,ts0020004,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value,ts0020005,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value,ts0020006,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value,ts0020007,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value,ts0020008,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value,ts0020009,ts002,Marital and civil partnership status,Value,
"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value",ts0020010,ts002,Marital and civil partnership status,Value,
"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",ts0020011,ts002,Marital and civil partnership status,Value,
"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",ts0020012,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value,ts0020013,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value,ts0020014,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value,ts0020015,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value,ts0020016,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value,ts0020017,ts002,Marital and civil partnership status,Value,
Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value,ts0020018,ts002,Marital and civil partnership status,Value,
Multi religion household: Total,ts0750001,ts075,Multi religion household,,
Multi religion household: One-person household,ts0750002,ts075,Multi religion household,,
Multi religion household: Multi-person household: No people stated their religion,ts0750003,ts075,Multi religion household,,
Multi religion household: Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),ts0750004,ts075,Multi religion household,,
Multi religion household: Multi-person household: No religion (household may include people who did not state their religion),ts0750005,ts075,Multi religion household,,
Multi religion household: Multi-person household: Same religion and no religion (household may include people who did not state their religion),ts0750006,ts075,Multi religion household,,
Multi religion household: Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),ts0750007,ts075,Multi religion household,,
Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census,ts0650001,ts065,Unemployment history,,
Unemployment history: Not in employment: Worked in the last 12 months,ts0650002,ts065,Unemployment history,,
Unemployment history: Not in employment: Not worked in the last 12 months,ts0650003,ts065,Unemployment history,,
Unemployment history: Not in employment: Never worked,ts0650004,ts065,Unemployment history,,
Year of arrival in the UK: Total: All usual residents; measures: Value,ts0150001,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Born in the UK; measures: Value,ts0150002,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived before 1951; measures: Value,ts0150003,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 1951 to 1960; measures: Value,ts0150004,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 1961 to 1970; measures: Value,ts0150005,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 1971 to 1980; measures: Value,ts0150006,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 1981 to 1990; measures: Value,ts0150007,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 1991 to 2000; measures: Value,ts0150008,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 2001 to 2010; measures: Value,ts0150009,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 2011 to 2013; measures: Value,ts0150010,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,ts0150011,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 2017 to 2019; measures: Value,ts0150012,ts015,Year of arrival in the UK,Value,
Year of arrival in the UK: Arrived 2020 to 2021; measures: Value,ts0150013,ts015,Year of arrival in the UK,Value,
Schoolchild or full-time student indicator: Total: All usual residents aged 5 years and over,ts0680001,ts068,Schoolchild or full-time student indicator,,
Schoolchild or full-time student indicator: Student,ts0680002,ts068,Schoolchild or full-time student indicator,,
Schoolchild or full-time student indicator: Not a student,ts0680003,ts068,Schoolchild or full-time student indicator,,
Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census,ts0610001,ts061,Method of travel to workplace,,
Method of travel to workplace: Work mainly at or from home,ts0610002,ts061,Method of travel to workplace,,
"Method of travel to workplace: Underground, metro, light rail, tram",ts0610003,ts061,Method of travel to workplace,,
Method of travel to workplace: Train,ts0610004,ts061,Method of travel to workplace,,
"Method of travel to workplace: Bus, minibus or coach",ts0610005,ts061,Method of travel to workplace,,
Method of travel to workplace: Taxi,ts0610006,ts061,Method of travel to workplace,,
"Method of travel to workplace: Motorcycle, scooter or moped",ts0610007,ts061,Method of travel to workplace,,
Method of travel to workplace: Driving a car or van,ts0610008,ts061,Method of travel to workplace,,
Method of travel to workplace: Passenger in a car or van,ts0610009,ts061,Method of travel to workplace,,
Method of travel to workplace: Bicycle,ts0610010,ts061,Method of travel to workplace,,
Method of travel to workplace: On foot,ts0610011,ts061,Method of travel to workplace,,
Method of travel to workplace: Other method of travel to work,ts0610012,ts061,Method of travel to workplace,,
Passports held: Total; measures: Value,ts0050001,ts005,Passports held,Value,
Passports held: Europe; measures: Value,ts0050002,ts005,Passports held,Value,
Passports held: Europe: United Kingdom; measures: Value,ts0050003,ts005,Passports held,Value,
Passports held: Europe: Ireland; measures: Value,ts0050004,ts005,Passports held,Value,
Passports held: Europe: Other Europe; measures: Value,ts0050005,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries; measures: Value,ts0050006,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries: France; measures: Value,ts0050007,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value,ts0050008,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value,ts0050009,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value,ts0050010,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value,ts0050011,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value,ts0050012,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value,ts0050013,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value,ts0050014,ts005,Passports held,Value,
Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value,ts0050015,ts005,Passports held,Value,
Passports held: Europe: Other Europe: Rest of Europe; measures: Value,ts0050016,ts005,Passports held,Value,
Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value,ts0050017,ts005,Passports held,Value,
Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value,ts0050018,ts005,Passports held,Value,
Passports held: Africa; measures: Value,ts0050019,ts005,Passports held,Value,
Passports held: Africa: North Africa; measures: Value,ts0050020,ts005,Passports held,Value,
Passports held: Africa: Central and Western Africa; measures: Value,ts0050021,ts005,Passports held,Value,
Passports held: Africa: South and Eastern Africa; measures: Value,ts0050022,ts005,Passports held,Value,
Passports held: Middle East and Asia; measures: Value,ts0050023,ts005,Passports held,Value,
