Variable_Name,Variable_ID,Table_ID,Table_Name,Type,Unit,Full_Name
All people aged 3 and over,UV2120001,UV212,Main language,Count,Person,Main language - All people aged 3 and over
English,UV2120002,UV212,Main language,Count,Person,Main language - English
Scots,UV2120003,UV212,Main language,Count,Person,Main language - Scots
Gaelic,UV2120004,UV212,Main language,Count,Person,Main language - Gaelic
Sign Language,UV2120005,UV212,Main language,Count,Person,Main language - Sign Language
Other language,UV2120006,UV212,Main language,Count,Person,Main language - Other language
All occupied households,UV7020001,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - All occupied households
No person working or studying in the household,UV7020002,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - No person working or studying in the household
One person working or studying in the household - Total,UV7020003,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - One person working or studying in the household - Total
One person working or studying in the household - Driving a car or van,UV7020004,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - One person working or studying in the household - Driving a car or van
One person working or studying in the household - Other method of travel to place of work or study,UV7020005,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - One person working or studying in the household - Other method of travel to place of work or study
One person working or studying in the household - Works or studies at home,UV7020006,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - One person working or studying in the household - Works or studies at home
Two people working or studying in the household - Total,UV7020007,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Two people working or studying in the household - Total
Two people working or studying in the household - Both driving cars or vans,UV7020008,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Two people working or studying in the household - Both driving cars or vans
Two people working or studying in the household - Both other method of travel to place of work or study,UV7020009,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Two people working or studying in the household - Both other method of travel to place of work or study
Two people working or studying in the household - Both working or studying at home,UV7020010,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Two people working or studying in the household - Both working or studying at home
"Two people working or studying in the household - One driving a car or van, one other method",UV7020011,UV702,Method of travel to work or study,Count,Household,"Method of travel to work or study - Two people working or studying in the household - One driving a car or van, one other method"
"Two people working or studying in the household - One driving a car or van, one working at home",UV7020012,UV702,Method of travel to work or study,Count,Household,"Method of travel to work or study - Two people working or studying in the household - One driving a car or van, one working at home"
"Two people working or studying in the household - One other method, one working at home",UV7020013,UV702,Method of travel to work or study,Count,Household,"Method of travel to work or study - Two people working or studying in the household - One other method, one working at home"
Three or more people working or studying in the household - Total,UV7020014,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Three or more people working or studying in the household - Total
Three or more people working or studying in the household - All driving cars or vans,UV7020015,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Three or more people working or studying in the household - All driving cars or vans
Three or more people working or studying in the household - All other method of travel to work,UV7020016,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Three or more people working or studying in the household - All other method of travel to work
Three or more people working or studying in the household - All working at home,UV7020017,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Three or more people working or studying in the household - All working at home
Three or more people working or studying in the household - Mixture of driving a car or van and other method,UV7020018,UV702,Method of travel to work or study,Count,Household,Method of travel to work or study - Three or more people working or studying in the household - Mixture of driving a car or van and other method
