variable_name,variable_code,table_ID,table_name,country,new_code,domain
Lives in a communal establishment,ts0010003,TS001,Residency type,ew,v01,Demography and Migration
Never married and never registered a civil partnership,ts0020002,TS002,Legal partnership status,ew,v02,Demography and Migration
Married or in a registered civil partnership,ts0020003,TS002,Legal partnership status,ew,v03,Demography and Migration
Separated or divorced,separated_divorced,TS002,Legal partnership status,ew,v04,Demography and Migration
One-person household,ts0030002,TS003,Household composition,ew,v05,Demography and Migration
Families with no children,no_children,TS003,Household composition,ew,v06,Demography and Migration
Families dependent children,dependant_children,TS003,Household composition,ew,v07,Demography and Migration
Europe: United Kingdom,ts0040003,TS004,Country of birth,ew,v08,Demography and Migration
Europe: EU countries,ts0040004,TS004,Country of birth,ew,v09,Demography and Migration
Europe: Non-EU countries,ts0040009,TS004,Country of birth,ew,v10,Demography and Migration
Africa,ts0040011,TS004,Country of birth,ew,v11,Demography and Migration
Usual residents per square kilometre,ts0060001,TS006,Population density,ew,v12,Demography and Migration
Aged 4 years and under,ts007a0002,TS007A,Age structure,ew,v13,Demography and Migration
Aged 5 to 14,age_5_14,TS007A,Age structure,ew,v14,Demography and Migration
Aged 25 to 44,age_25_44,TS007A,Age structure,ew,v15,Demography and Migration
Aged 45 to 64,age_45_64,TS007A,Age structure,ew,v16,Demography and Migration
Aged 65 to 84,age_65_84,TS007A,Age structure,ew,v17,Demography and Migration
Aged 85 years and over,ts007a0019,TS007A,Age structure,ew,v18,Demography and Migration
Address one year ago is the same as the address of enumeration,ts0190002,TS019,Migrant Indicator,ew,v19,Demography and Migration
Bangladeshi,ts0210003,TS021,Ethnic group,ew,v20,"Ethnicity, Identity, Language and Religion"
Chinese,ts0210004,TS021,Ethnic group,ew,v21,"Ethnicity, Identity, Language and Religion"
Indian,ts0210005,TS021,Ethnic group,ew,v22,"Ethnicity, Identity, Language and Religion"
Pakistani,ts0210006,TS021,Ethnic group,ew,v23,"Ethnicity, Identity, Language and Religion"
Other Asian,ts0210007,TS021,Ethnic group,ew,v24,"Ethnicity, Identity, Language and Religion"
Black,ts0210008,TS021,Ethnic group,ew,v25,"Ethnicity, Identity, Language and Religion"
Mixed or Multiple ethnic groups,ts0210012,TS021,Ethnic group,ew,v26,"Ethnicity, Identity, Language and Religion"
White,ts0210017,TS021,Ethnic group,ew,v27,"Ethnicity, Identity, Language and Religion"
All household members have the same ethnic group,ts0230003,TS023,Multiple ethnic group,ew,v28,"Ethnicity, Identity, Language and Religion"
Cannot speak English well or at all,cannot_speak_English,TS029,Proficiency in English,ew,v29,"Ethnicity, Identity, Language and Religion"
No religion,ts0300002,TS030,Religion,ew,v30,"Ethnicity, Identity, Language and Religion"
Christian,ts0300003,TS030,Religion,ew,v31,"Ethnicity, Identity, Language and Religion"
Other religion,ts0300009,TS030,Religion,ew,v32,"Ethnicity, Identity, Language and Religion"
Standardised Illness Ratio,SIR,SIR,Disability,ew,v33,"Health, Disability and Unpaid Care"
Provides unpaid care,provides_unpaid_care,TS039,Provision of unpaid care,ew,v34,"Health, Disability and Unpaid Care"
Detached,ts0440002,TS044,Accommodation type,ew,v35,Housing
Semi-detached,ts0440003,TS044,Accommodation type,ew,v36,Housing
Terraced (including end-terrace),ts0440004,TS044,Accommodation type,ew,v37,Housing
Lives in a flat,flat,TS044,Accommodation type,ew,v38,Housing
Two or more cars or vans,cars_2_or_more,TS045,Car or van availability,ew,v39,Housing
Under occupation,under_occupation,TS053,Occupancy rating for rooms,ew,v40,Housing
Overcrowding,overcrowding,TS053,Occupancy rating for rooms,ew,v41,Housing
Social rented,ts0540007,TS054,Tenure,ew,v42,Housing
Private rented,ts0540010,TS054,Tenure,ew,v43,Housing
Ownership or shared ownership,ownership_or_shared,TS054,Tenure,ew,v44,Housing
Part-time,ts0590002,TS059,Hours worked,ew,v45,Labour Market
Full-time,ts0590005,TS059,Hours worked,ew,v46,Labour Market
L15 Full-time students,ts0620010,TS062,NS-SeC,ew,v47,Labour Market
1. Managers directors and senior officials,ts0630002,TS063,Occupation,ew,v48,Labour Market
2. Professional occupations,ts0630003,TS063,Occupation,ew,v49,Labour Market
3. Associate professional and technical occupations,ts0630004,TS063,Occupation,ew,v50,Labour Market
4. Administrative and secretarial occupations,ts0630005,TS063,Occupation,ew,v51,Labour Market
5. Skilled trades occupations,ts0630006,TS063,Occupation,ew,v52,Labour Market
