LTLA,ts0200001,ts0200002,ts0200003
E06000001,26,9,17
E06000002,295,130,165
E06000003,35,15,20
E06000004,186,79,107
E06000005,71,40,31
E06000047,1107,699,408
E06000057,103,55,48
E08000021,1753,927,826
E08000022,88,50,38
E08000023,161,47,114
E08000024,329,151,178
E08000037,177,94,83
E06000006,127,24,103
E06000007,185,93,92
E06000008,264,132,132
E06000009,94,44,50
E06000049,332,172,160
E06000050,329,174,155
E07000026,19,14,5
E07000027,30,14,16
E07000028,97,59,38
E07000029,15,8,7
E07000030,22,9,13
E07000031,89,50,39
E07000117,216,102,114
E07000118,36,22,14
E07000119,25,15,10
E07000120,89,46,43
E07000121,886,509,377
E07000122,260,116,144
E07000123,553,285,268
E07000124,33,15,18
E07000125,10,5,5
E07000126,41,22,19
E07000127,124,55,69
E07000128,98,38,60
E08000001,594,292,302
E08000002,179,89,90
E08000003,5238,3030,2208
E08000004,424,221,203
E08000005,368,185,183
E08000006,647,322,325
E08000007,208,108,100
E08000008,198,95,103
E08000009,314,163,151
E08000010,154,90,64
E08000011,73,31,42
E08000012,2202,1076,1126
E08000013,87,52,35
E08000014,190,96,94
E08000015,143,91,52
E06000010,531,233,298
E06000011,157,79,78
E06000012,111,53,58
E06000013,144,57,87
E06000014,1297,792,505
E07000163,38,15,23
E07000164,21,12,9
E07000165,226,118,108
E07000166,29,11,18
E07000167,56,22,34
E07000168,99,48,51
E07000169,62,45,17
E08000016,141,68,73
E08000017,306,163,143
E08000018,135,73,62
E08000019,3133,1813,1320
E08000032,797,374,423
E08000033,88,45,43
E08000034,644,294,350
E08000035,3079,1838,1241
E08000036,302,127,175
E06000015,547,274,273
E06000016,2160,1150,1010
E06000017,99,45,54
E06000018,2089,1143,946
E06000061,427,219,208
E06000062,753,406,347
E07000032,34,21,13
E07000033,31,13,18
E07000034,31,18,13
E07000035,15,10,5
E07000036,47,29,18
E07000037,37,24,13
E07000038,20,13,7
E07000039,68,36,32
E07000129,75,41,34
E07000130,688,347,341
E07000131,55,24,31
E07000132,36,18,18
E07000133,13,7,6
E07000134,40,25,15
E07000135,78,47,31
E07000136,189,95,94
E07000137,71,45,26
E07000138,298,139,159
E07000139,35,20,15
E07000140,136,75,61
E07000141,59,38,21
E07000142,40,19,21
E07000170,54,28,26
E07000171,49,29,20
E07000172,198,88,110
E07000173,57,37,20
E07000174,80,43,37
E07000175,52,30,22
E07000176,91,63,28
E06000019,217,103,114
E06000020,252,129,123
E06000021,371,168,203
E06000051,475,242,233
E07000192,27,17,10
E07000193,152,72,80
E07000194,69,28,41
E07000195,128,68,60
E07000196,12,6,6
E07000197,52,27,25
E07000198,15,11,4
E07000199,23,15,8
E07000218,14,10,4
E07000219,112,71,41
E07000220,224,96,128
E07000221,85,57,28
E07000222,857,481,376
E07000234,137,63,74
E07000235,147,94,53
E07000236,86,46,40
E07000237,178,96,82
E07000238,226,93,133
E07000239,27,16,11
E08000025,4108,2293,1815
E08000026,3262,1900,1362
E08000027,217,119,98
E08000028,916,454,462
E08000029,151,85,66
E08000030,414,217,197
E08000031,903,491,412
E06000031,380,213,167
E06000032,1050,509,541
E06000033,152,81,71
E06000034,236,134,102
E06000055,324,151,173
E06000056,506,221,285
E07000008,1934,1015,919
E07000009,151,65,86
E07000010,79,38,41
E07000011,164,88,76
E07000012,242,142,100
E07000066,134,83,51
E07000067,55,33,22
E07000068,68,44,24
E07000069,24,17,7
E07000070,222,116,106
E07000071,646,348,298
E07000072,157,92,65
E07000073,99,55,44
E07000074,16,11,5
E07000075,20,10,10
E07000076,47,23,24
E07000077,69,40,29
E07000095,81,47,34
E07000096,144,88,56
E07000098,144,82,62
E07000099,85,54,31
E07000102,112,71,41
E07000103,230,127,103
E07000143,105,50,55
E07000144,58,34,24
E07000145,81,43,38
E07000146,143,75,68
E07000147,58,26,32
E07000148,665,392,273
