LTLA,ts0250001,ts0250002,ts0250003,ts0250004,ts0250005
E06000001,40931,39989,341,141,460
E06000002,60262,55104,1765,670,2723
E06000003,61636,60817,367,81,371
E06000004,83755,80620,1319,452,1364
E06000005,48918,46664,672,293,1289
E06000006,55951,54248,528,233,942
E06000007,90535,84830,1625,733,3347
E06000008,58766,49045,5041,1017,3663
E06000009,64789,61631,984,386,1788
E06000010,115472,103563,2641,1616,7652
E06000011,152068,148184,1513,578,1793
E06000012,69826,66944,847,388,1647
E06000013,73173,68356,1399,651,2767
E06000014,85459,80611,2131,524,2193
E06000015,105652,90342,5848,1993,7469
E06000016,127388,82741,15204,5534,23909
E06000017,16694,16313,203,60,118
E06000018,124745,103443,7169,3022,11111
E06000019,82827,78549,1281,628,2369
E06000020,76510,70913,1913,750,2934
E06000021,110400,99219,3711,1609,5861
E06000022,79250,74366,2365,471,2048
E06000023,191638,167698,10224,2710,11006
E06000024,94649,90118,1670,602,2259
E06000025,118101,110714,2893,1018,3476
E06000026,114558,108465,2180,857,3056
E06000027,62993,60735,992,272,994
E06000030,95862,85135,3635,1675,5417
E06000031,84533,65466,5716,3139,10212
E06000032,78940,55173,10031,3304,10432
E06000033,78344,72701,2269,868,2506
E06000034,66377,57776,2717,1657,4227
E06000035,111458,102839,3427,1393,3799
E06000036,50248,45735,1939,706,1868
E06000037,66659,62660,1692,541,1766
E06000038,67683,52932,5295,1844,7612
E06000039,52423,33149,8146,3039,8089
E06000040,60932,53892,3466,847,2727
E06000041,69164,62366,2906,1360,2532
E06000042,113100,96245,6143,2826,7886
E06000043,121402,106982,6603,1209,6608
E06000044,86155,76899,3525,1198,4533
E06000045,102291,84920,5554,2230,9587
E06000046,64775,63276,721,180,598
E06000047,234762,229628,1983,617,2534
E06000049,174856,166631,2865,939,4421
E06000050,155156,148859,2594,819,2884
E06000051,139580,135501,1761,431,1887
E06000052,250535,244595,3042,613,2285
E06000053,942,915,12,1,14
E06000054,215080,206224,3778,1285,3793
E06000055,74950,63998,4320,1407,5225
E06000056,120755,113788,2865,1033,3069
E06000057,146922,144739,1002,310,871
E06000058,173842,156998,6345,2151,8348
E06000059,169261,165323,2077,510,1351
E06000060,220328,200024,9933,2763,7608
E06000061,148918,134090,4130,2266,8432
E06000062,172642,152112,6293,2895,11342
E07000008,52472,39241,5674,1298,6259
E07000009,37203,34965,855,333,1050
E07000010,44083,40087,909,630,2457
E07000011,76880,72025,1819,689,2347
E07000012,66996,60943,2539,941,2573
E07000026,43972,43332,301,79,260
E07000027,31259,30640,227,74,318
E07000028,50663,48572,605,234,1252
E07000029,30789,30369,216,32,172
E07000030,24614,23976,257,74,307
E07000031,47656,46291,623,141,601
E07000032,56277,55156,472,154,495
E07000033,35262,33900,339,132,891
E07000034,48058,46726,522,177,633
E07000035,32281,31858,255,33,135
E07000036,50334,48868,567,167,732
E07000037,40772,40012,432,64,264
E07000038,45987,45305,335,91,256
E07000039,45240,43559,714,201,766
E07000040,66788,65208,864,190,526
E07000041,52554,47829,1960,549,2216
E07000042,35633,34532,428,133,540
E07000043,43198,42200,450,100,448
E07000044,39335,38578,496,84,177
E07000045,59838,58706,646,115,371
E07000046,30457,30064,219,46,128
E07000047,24818,24386,251,36,145
E07000061,45611,41640,1570,574,1827
E07000062,40453,37875,998,354,1226
E07000063,43688,41953,920,227,588
E07000064,42104,41061,604,102,337
E07000065,68266,66466,1082,197,521
E07000066,76362,71627,1738,882,2115
E07000067,64986,62592,1092,321,981
E07000068,32341,30663,747,236,695
E07000069,37388,36607,432,83,266
E07000070,75403,70770,1942,666,2025
E07000071,79710,73526,2501,825,2858
E07000072,54557,50407,2039,579,1532
E07000073,37857,33334,1533,761,2229
E07000074,27900,27423,301,42,134
E07000075,35557,34981,348,48,180
E07000076,67451,65917,732,190,612
E07000077,36958,35436,780,206,536
E07000078,52899,48734,1523,542,2100
E07000079,40596,39450,602,121,423
E07000080,37217,36408,350,77,382
E07000081,55407,50246,1728,785,2648
E07000082,52378,50993,748,173,464
E07000083,40931,39333,617,276,705
E07000084,76645,70588,2257,903,2897
E07000085,52718,50738,1016,232,732
E07000086,56924,54270,1225,385,1044
E07000087,48640,47345,762,147,386
E07000088,35922,34869,526,139,388
E07000089,39964,38053,986,265,660
E07000090,53589,52156,699,185,549
E07000091,77566,75567,1050,242,707
E07000092,39303,33581,1839,798,3085
E07000093,54708,51917,1225,428,1138
E07000094,51715,49347,1256,240,872
E07000095,39850,35276,1811,682,2081
E07000096,63412,58659,1997,764,1992
E07000098,42684,37312,2215,948,2209
E07000099,56732,53346,1640,405,1341
E07000102,36858,33333,1563,561,1401
E07000103,39628,30443,3486,1438,4261
E07000105,53585,49710,1514,607,1754
E07000106,63795,59731,1955,472,1637
