LTLA,ts0300001,ts0300002,ts0300003,ts0300004,ts0300005,ts0300006,ts0300007,ts0300008,ts0300009,ts0300010
E06000001,92338,36995,48495,180,222,27,1213,166,285,4755
E06000002,143924,52415,66143,437,1436,41,14703,606,460,7683
E06000003,136529,54921,72359,280,139,37,984,70,491,7248
E06000004,196595,76840,100420,532,811,61,6675,782,550,9924
E06000005,107799,42780,56194,344,453,36,1849,443,404,5296
E06000006,128478,45261,75269,291,327,46,805,80,453,5946
E06000007,210974,73042,119650,605,1495,190,3686,478,794,11034
E06000008,154739,32717,58793,262,483,49,54146,139,439,7711
E06000009,141036,57812,71698,500,511,227,2004,109,707,7468
E06000010,267016,131424,106411,746,646,146,9285,277,1124,16957
E06000011,342216,133916,182396,885,758,284,1966,227,1224,20560
E06000012,156968,73008,71063,417,425,79,1922,183,653,9218
E06000013,169680,65581,88455,406,418,49,4201,566,614,9390
E06000014,202820,93577,89019,1045,1043,273,2488,179,1266,13930
E06000015,261364,95639,104969,828,3065,150,29137,9762,1297,16517
E06000016,368574,84607,91161,1181,65821,326,86443,16451,2075,20509
E06000017,41052,15239,22728,150,125,53,258,67,201,2231
E06000018,323630,133403,112200,1671,5403,941,39540,4110,2263,24099
E06000019,187034,68475,102614,646,384,142,790,117,904,12962
E06000020,185542,75965,88275,597,1352,78,5043,2851,933,10448
E06000021,258369,97433,118434,811,1356,83,23790,602,1150,14710
E06000022,193414,92567,81553,996,875,325,1909,162,1097,13930
E06000023,472465,242864,152126,2710,3545,1228,31776,2247,3546,32423
E06000024,216729,98085,100990,695,468,166,1346,117,1166,13696
E06000025,290425,133749,128014,1056,2896,173,4720,1006,1319,17492
E06000026,264695,129338,112526,1018,814,207,3474,96,1527,15695
E06000027,139324,60178,67634,553,223,141,788,60,976,8771
E06000030,233410,94559,108778,1700,5865,131,6310,1448,1514,13105
E06000031,215673,70066,99802,617,3813,185,26239,1348,999,12604
E06000032,225260,39580,85297,664,7438,246,74191,3032,1115,13697
E06000033,180686,81187,76884,953,2057,2057,5461,203,1128,10756
E06000034,176000,61043,90940,703,2376,225,8586,2030,901,9196
E06000035,279771,120309,126097,999,3172,217,7636,4363,1705,15273
E06000036,124607,50300,59141,1039,2942,190,2216,1055,743,6981
E06000037,161448,66290,79217,552,2083,236,2107,367,705,9891
E06000038,174226,63287,68988,2887,8757,329,15481,1194,1241,12062
E06000039,158500,20726,50664,776,12343,85,46661,17985,716,8544
E06000040,153496,47641,76514,870,4706,521,8607,4517,694,9426
E06000041,177505,65428,79389,881,8464,435,8597,2992,775,10544
E06000042,287060,108953,122935,1404,12911,383,20484,1959,1558,16473
E06000043,277103,152966,85629,2455,2100,2455,8500,378,2860,19760
E06000044,208004,97887,81939,1077,1596,200,10174,459,1259,13413
E06000045,248922,108000,99910,1333,3265,254,13893,4192,1663,16412
E06000046,140460,61721,67005,499,257,136,593,39,1111,9099
E06000047,522067,201688,285167,1290,990,286,2922,839,2198,26687
E06000049,398770,150257,216629,1314,2046,640,4140,371,1558,21815
E06000050,357150,135025,194705,1074,1551,288,3506,251,1238,19512
E06000051,323604,119573,179516,895,557,182,1708,760,1482,18931
E06000052,570305,264037,259145,2079,547,507,1333,130,4393,38134
E06000053,2054,950,967,3,1,1,0,0,7,125
E06000054,510334,210601,256160,2521,2670,458,3508,483,3224,30709
E06000055,185225,63243,88178,629,3045,232,13059,4114,2014,10711
E06000056,294252,126001,140903,996,3035,620,3965,1399,1362,15971
E06000057,320564,128703,170668,752,446,172,1635,654,1353,16181
E06000058,400192,168852,187448,2022,2841,1601,6645,267,2944,27572
