LTLA,ts0390001,ts0390002,ts0390003,ts0390004,ts0390005,ts0390006,ts0390007,ts0390008,ts0390009
E06000001,87356,77802,3660,2410,1250,2512,1062,1450,3382
E06000002,134996,122459,4781,3124,1657,3340,1467,1873,4416
E06000003,129717,115877,5578,3768,1810,3254,1394,1860,5008
E06000004,185862,167639,7785,5353,2432,4240,1867,2373,6198
E06000005,102305,92501,4595,3277,1318,2108,900,1208,3101
E06000006,121521,107792,5660,3777,1883,3322,1497,1825,4747
E06000007,200341,181242,9837,7158,2679,3801,1818,1983,5461
E06000008,144682,131403,5484,3649,1835,3396,1531,1865,4399
E06000009,133676,119063,5829,3856,1973,3523,1534,1989,5261
E06000010,251061,229820,8148,5515,2633,5147,2025,3122,7946
E06000011,327527,296909,15283,11286,3997,5651,2662,2989,9684
E06000012,148510,134457,6002,4176,1826,3202,1359,1843,4849
E06000013,161235,145805,6836,4734,2102,3408,1562,1846,5186
E06000014,194206,179338,8620,6550,2070,2445,1229,1216,3803
E06000015,246144,223874,10052,7096,2956,5157,2392,2765,7061
E06000016,346269,319742,10963,7262,3701,7054,3222,3832,8510
E06000017,39405,36234,1817,1419,398,476,226,250,878
E06000018,305813,281467,10610,7365,3245,6026,2707,3319,7710
E06000019,178605,162028,8815,6510,2305,2952,1448,1504,4810
E06000020,174980,156954,8214,5959,2255,3913,1773,2140,5899
E06000021,242744,219182,10014,6785,3229,5505,2419,3086,8043
E06000022,184388,169418,8570,6485,2085,2551,1282,1269,3849
E06000023,446523,412550,17739,13233,4506,6916,3194,3722,9318
E06000024,206068,187306,10166,7693,2473,3245,1602,1643,5351
E06000025,274305,250653,13007,9668,3339,4204,2088,2116,6441
E06000026,251489,227533,10646,7641,3005,5267,2403,2864,8043
E06000027,133265,118359,6514,4498,2016,3207,1553,1654,5185
E06000030,219784,201466,9060,6595,2465,3806,1759,2047,5452
E06000031,201509,185265,7313,5216,2097,3853,1712,2141,5078
E06000032,209302,193203,7112,4738,2374,4114,1925,2189,4873
E06000033,170444,155425,7405,5320,2085,3046,1390,1656,4568
E06000034,163739,151068,5732,4067,1665,2856,1269,1587,4083
E06000035,262465,239847,10306,7265,3041,4932,2184,2748,7380
E06000036,117488,108718,4802,3628,1174,1555,710,845,2413
E06000037,153138,141112,6883,5324,1559,1932,924,1008,3211
E06000038,163989,153003,5444,4003,1441,2493,1070,1423,3049
E06000039,146729,136585,4506,3042,1464,2644,1237,1407,2994
E06000040,145476,134701,6175,4725,1450,1875,945,930,2725
E06000041,167650,155455,7195,5600,1595,1976,990,986,3024
E06000042,269327,248723,10185,7471,2714,4418,2075,2343,6001
E06000043,265352,244548,11334,8679,2655,4040,1981,2059,5430
E06000044,196722,181418,7363,5280,2083,3257,1488,1769,4684
E06000045,235126,216988,8399,6118,2281,4006,1766,2240,5733
E06000046,134907,120702,6653,4819,1834,2666,1286,1380,4886
E06000047,497316,444638,22444,15557,6887,11908,5056,6852,18326
E06000049,378839,344383,18703,14028,4675,6138,3001,3137,9615
E06000050,339532,306894,16421,11955,4466,6312,2999,3313,9905
E06000051,309186,279482,15681,11637,4044,5492,2721,2771,8531
E06000052,544772,490220,26422,19107,7315,10677,5283,5394,17453
E06000053,1957,1758,118,87,31,27,19,8,54
E06000054,484704,442444,22932,17386,5546,7522,3675,3847,11806
E06000055,174062,159730,7421,5415,2006,3029,1397,1632,3882
E06000056,276447,252896,12887,9600,3287,4172,2035,2137,6492
E06000057,306332,275216,14730,10578,4152,6429,2995,3434,9957
E06000058,381318,347966,17394,12863,4531,6334,3010,3324,9624
E06000059,364555,329043,18838,14036,4802,6102,3021,3081,10572
E06000060,522190,480417,23825,18279,5546,7277,3561,3716,10671
E06000061,339319,310403,14066,10196,3870,5881,2755,3126,8969
E06000062,401760,369994,16486,12261,4225,6223,2851,3372,9057
E07000008,139327,130613,5151,4104,1047,1523,704,819,2040
E07000009,83243,76067,4079,3072,1007,1185,584,601,1912
E07000010,97290,87974,4046,2870,1176,1998,895,1103,3272
E07000011,171172,157021,7645,5743,1902,2466,1230,1236,4040
E07000012,153347,140468,7869,6114,1755,1998,979,1019,3012
E07000026,91815,82804,4377,3105,1272,1837,865,972,2797
E07000027,63921,57590,2912,1968,944,1390,624,766,2029
E07000028,104647,95426,4651,3335,1316,1876,921,955,2694
E07000029,63945,57470,2886,1963,923,1390,620,770,2199
E07000030,52583,47803,2669,2000,669,836,436,400,1275
E07000031,100536,91546,5122,3827,1295,1438,750,688,2430
E07000032,120137,107579,6433,4711,1722,2361,1115,1246,3764
E07000033,76171,67663,3733,2562,1171,1915,892,1023,2860
E07000034,98490,87778,5058,3621,1437,2196,989,1207,3458
E07000035,68904,62027,4032,3048,984,1055,522,533,1790
E07000036,107413,96677,5375,3950,1425,2074,960,1114,3287
E07000037,86606,78503,4457,3331,1126,1422,692,730,2224
E07000038,97162,86564,5264,3754,1510,1963,925,1038,3371
E07000039,101447,92098,4849,3603,1246,1804,870,934,2696
E07000040,144337,130146,7484,5580,1904,2471,1214,1257,4236
E07000041,124825,114847,5373,4069,1304,1886,908,978,2719
E07000042,78830,71328,3989,2990,999,1379,670,709,2134
E07000043,94098,85130,4459,3248,1211,1662,787,875,2847
E07000044,85100,76521,4801,3628,1173,1484,751,733,2294
E07000045,128894,115676,6906,5153,1753,2376,1166,1210,3936
E07000046,65310,58683,3220,2377,843,1246,602,644,2161
E07000047,54900,49222,3040,2269,771,958,495,463,1680
E07000061,96968,87553,4344,3157,1187,1946,887,1059,3125
E07000062,86174,77509,3885,2835,1050,1942,839,1103,2838
E07000063,95365,85555,5320,3986,1334,1635,840,795,2855
E07000064,89378,80049,4639,3451,1188,1716,843,873,2974
E07000065,152970,138783,7933,6052,1881,2409,1232,1177,3845
E07000066,175375,159932,7337,5285,2052,3140,1446,1694,4966
E07000067,146815,134162,6487,4868,1619,2370,1132,1238,3796
E07000068,72767,66768,3462,2616,846,976,462,514,1561
E07000069,85274,77144,3870,2749,1121,1646,804,842,2614
E07000070,171642,157942,7637,5867,1770,2372,1149,1223,3691
E07000071,181885,167005,7677,5765,1912,2860,1302,1558,4343
