LTLA,ts0410001
E06000001,40930
E06000002,60262
E06000003,61636
E06000004,83757
E06000005,48918
E06000047,234761
E06000057,146922
E08000021,122797
E08000022,96232
E08000023,68287
E08000024,122177
E08000037,88999
E06000006,55951
E06000007,90538
E06000008,58767
E06000009,64789
E06000049,174856
E06000050,155156
E07000026,43973
E07000027,31259
E07000028,50663
E07000029,30789
E07000030,24613
E07000031,47657
E07000117,39872
E07000118,50132
E07000119,37606
E07000120,34790
E07000121,59978
E07000122,38066
E07000123,59607
E07000124,26747
E07000125,30561
E07000126,48586
E07000127,48533
E07000128,50767
E08000001,118790
E08000002,80696
E08000003,214732
E08000004,93140
E08000005,90223
E08000006,115116
E08000007,126648
E08000008,99527
E08000009,96269
E08000010,143105
E08000011,66073
E08000012,207491
E08000013,81011
E08000014,123073
E08000015,143252
E06000010,115472
E06000011,152066
E06000012,69826
E06000013,73173
E06000014,85459
E07000163,26069
E07000164,40802
E07000165,71169
E07000166,20944
E07000167,24714
E07000168,51123
E07000169,39560
E08000016,108053
E08000017,133482
E08000018,113925
E08000019,231950
E08000032,209867
E08000033,90476
E08000034,177989
E08000035,341466
E08000036,153075
E06000015,105652
E06000016,127387
E06000017,16694
E06000018,124745
E06000061,148918
E06000062,172641
E07000032,56277
E07000033,35262
E07000034,48058
E07000035,32283
E07000036,50334
E07000037,40772
E07000038,45987
E07000039,45240
E07000129,42575
E07000130,73785
E07000131,40413
E07000132,49446
E07000133,22599
E07000134,44973
E07000135,22617
E07000136,29404
E07000137,64754
E07000138,42507
E07000139,50989
E07000140,40703
E07000141,62850
E07000142,42345
E07000170,54508
E07000171,51458
E07000172,48361
E07000173,51551
E07000174,48030
E07000175,53331
E07000176,49883
E06000019,82827
E06000020,76510
E06000021,110399
E06000051,139579
E07000192,43457
E07000193,51293
E07000194,45630
E07000195,53423
E07000196,46121
E07000197,60047
E07000198,42355
E07000199,32895
E07000218,27580
E07000219,56586
E07000220,47013
E07000221,59464
E07000222,62619
E07000234,41266
E07000235,34892
E07000236,36378
E07000237,44722
E07000238,57356
E07000239,45320
E08000025,423456
E08000026,134139
E08000027,137069
E08000028,130246
E08000029,89483
E08000030,112226
E08000031,105141
E06000031,84533
E06000032,78940
E06000033,78344
E06000034,66377
E06000055,74950
E06000056,120755
E07000008,52472
E07000009,37203
E07000010,44083
E07000011,76880
E07000012,66996
E07000066,76362
E07000067,64986
E07000068,32342
E07000069,37389
E07000070,75401
E07000071,79710
E07000072,54557
E07000073,37857
E07000074,27900
E07000075,35557
E07000076,67451
E07000077,36958
E07000095,39849
E07000096,63412
E07000098,42682
E07000099,56732
E07000102,36858
E07000103,39628
E07000143,60359
E07000144,57760
E07000145,44544
E07000146,67464
E07000147,48374
E07000148,64459
E07000149,61381
E07000200,40200
E07000202,59507
E07000203,44343
E07000240,58991
E07000241,46209
E07000242,62021
E07000243,36511
E07000244,110747
E07000245,78746
E09000001,4914
E09000002,73902
E09000003,148917
E09000004,95300
E09000005,118612
E09000006,135827
E09000007,92759
E09000008,152946
E09000009,133659
E09000010,120923
E09000011,114052
E09000012,106081
E09000013,81244
E09000014,105092
E09000015,89642
E09000016,101277
E09000017,109228
E09000018,102961
E09000019,96496
E09000020,66884
E09000021,65626
E09000022,134688
E09000023,122392
E09000024,81729
E09000025,115507
E09000026,103713
E09000027,80705
E09000028,130818
E09000029,82348
E09000030,120539
E09000031,102901
E09000032,137393
E09000033,94815
E06000035,111458
E06000036,50248
E06000037,66658
E06000038,67683
E06000039,52423
E06000040,60932
E06000041,69164
E06000042,113102
E06000043,121402
E06000044,86155
E06000045,102291
E06000046,64775
E06000060,220328
E07000061,45610
E07000062,40453
E07000063,43688
E07000064,42102
E07000065,68266
E07000084,76645
E07000085,52718
E07000086,56924
E07000087,48639
E07000088,35922
E07000089,39964
E07000090,53589
E07000091,77566
E07000092,39303
E07000093,54708
E07000094,51715
E07000105,53583
E07000106,63792
E07000107,45696
E07000108,50548
E07000109,41724
E07000110,71208
E07000111,49013
E07000112,48338
E07000113,60495
E07000114,62200
E07000115,53573
E07000116,48223
E07000177,65894
E07000178,55238
E07000179,61497
E07000180,57498
E07000181,47981
E07000207,55590
E07000208,31321
E07000209,55760
E07000210,37139
E07000211,59849
E07000212,34838
E07000213,41805
E07000214,36008
E07000215,35623
E07000216,52448
E07000217,41437
E07000223,27678
E07000224,72661
E07000225,54118
E07000226,45502
E07000227,62370
E07000228,63349
E07000229,49538
E06000022,79250
E06000023,191638
E06000024,94648
E06000025,118101
E06000026,114558
E06000027,62992
E06000030,95862
E06000052,250535
E06000053,942
E06000054,215081
E06000058,173842
E06000059,169261
E07000040,66788
E07000041,52554
E07000042,35633
E07000043,43197
E07000044,39335
E07000045,59838
E07000046,30457
E07000047,24818
E07000078,52899
E07000079,40597
E07000080,37217
E07000081,55407
E07000082,52378
E07000083,40931
E07000187,50294
E07000188,53904
E07000189,75936
E07000246,69986
W06000001,30822
W06000002,51105
W06000003,52235
W06000004,42387
W06000005,66911
W06000006,57914
W06000008,30893
W06000009,55488
W06000010,81759
W06000011,104962
W06000012,62375
W06000013,62360
W06000014,57450
W06000015,147333
W06000016,103339
W06000018,76257
W06000019,30340
W06000020,40241
W06000021,40923
W06000022,66054
W06000023,60182
W06000024,25783
