LTLA,ts0560001,ts0560002,ts0560003,ts0560004
E06000001,92338,89127,2741,470
E06000002,143924,137981,4861,1082
E06000003,136531,132100,3739,692
E06000004,196595,189083,6210,1302
E06000005,107798,103809,3320,669
E06000006,128478,124325,3558,595
E06000007,210974,201749,7363,1862
E06000008,154738,150035,3765,938
E06000009,141036,136239,3974,823
E06000010,267017,253880,11498,1639
E06000011,342215,327879,11733,2603
E06000012,156966,151405,4655,906
E06000013,169680,163394,5162,1124
E06000014,202821,178370,21273,3178
E06000015,261364,248285,11132,1947
E06000016,368571,342339,20973,5259
E06000017,41049,37371,3105,573
E06000018,323632,274756,43112,5764
E06000019,187034,179049,6315,1670
E06000020,185541,177171,7290,1080
E06000021,258369,247543,9599,1227
E06000022,193409,169741,19582,4086
E06000023,472465,427459,37503,7503
E06000024,216727,207420,7427,1880
E06000025,290424,275339,12530,2555
E06000026,264695,245146,17426,2123
E06000027,139324,134225,3971,1128
E06000030,233410,224431,6808,2171
E06000031,215673,207972,5719,1982
E06000032,225262,217723,4696,2843
E06000033,180683,174157,4933,1593
E06000034,176000,170443,4016,1541
E06000035,279773,268734,8739,2300
E06000036,124607,118114,4918,1575
E06000037,161448,152571,6959,1918
E06000038,174224,159018,11169,4037
E06000039,158500,153456,2782,2262
E06000040,153496,143253,7093,3150
E06000041,177502,168259,6674,2569
E06000042,287060,275446,8080,3534
E06000043,277103,248179,22350,6574
E06000044,208003,188488,16555,2960
E06000045,248922,224943,18792,5187
E06000046,140459,134614,4666,1179
E06000047,522068,490625,27028,4415
E06000049,398772,379261,15220,4291
E06000050,357150,338104,15712,3334
E06000051,323606,307419,13434,2753
E06000052,570305,542392,23853,4060
E06000053,2053,1881,126,46
E06000054,510333,483108,22435,4790
E06000055,185225,177479,5772,1974
E06000056,294252,282751,8835,2666
E06000057,320567,307630,10749,2188
E06000058,400196,373603,21605,4988
E06000059,379579,361329,14650,3600
E06000060,553078,526247,19343,7488
E06000061,359525,345529,11302,2694
E06000062,425728,405118,16114,4496
E07000008,145673,117153,20580,7940
E07000009,87762,83994,2967,801
E07000010,102463,99107,2775,581
E07000011,180832,173414,5937,1481
E07000012,162119,154185,5985,1949
E07000026,96157,92581,3004,572
E07000027,67407,64739,2322,346
E07000028,110024,105270,4088,666
E07000029,67076,64455,2306,315
E07000030,54735,52603,1732,400
E07000031,104453,98321,4878,1254
E07000032,126206,121443,4163,600
E07000033,80273,77562,2359,352
E07000034,103569,99672,3414,483
E07000035,71540,68162,2592,786
E07000036,112903,108950,3351,602
E07000037,90931,86793,3419,719
E07000038,102001,98306,3172,523
E07000039,107208,102716,3864,628
E07000040,150828,144536,5097,1195
E07000041,130707,109891,17642,3174
E07000042,82852,79639,2672,541
E07000043,98611,94737,3101,773
E07000044,88627,83911,3564,1152
E07000045,134803,129544,4393,866
E07000046,68114,65535,2137,442
E07000047,57096,54541,2007,548
E07000061,101686,96764,3665,1257
E07000062,90995,87455,2707,833
E07000063,99905,95673,3100,1132
E07000064,93110,89094,2919,1097
E07000065,160151,152936,5287,1928
E07000066,187571,181842,4353,1376
E07000067,155269,149763,4455,1051
E07000068,77047,73944,2167,936
E07000069,89587,87138,1942,507
E07000070,181523,173580,6078,1865
E07000071,192715,179727,10057,2931
E07000072,134980,129552,3680,1748
E07000073,93328,90454,2199,675
E07000074,66208,63625,1927,656
E07000075,85661,82817,2283,561
E07000076,148291,143711,3634,946
E07000077,91341,86810,3320,1211
E07000078,118837,109924,7259,1654
E07000079,90832,84801,4647,1384
E07000080,87004,82868,3576,560
E07000081,132416,126290,5303,823
E07000082,121104,115522,4532,1050
E07000083,94884,90942,3230,712
E07000084,185154,177259,6028,1867
E07000085,125744,119855,4473,1416
E07000086,136443,131273,4093,1077
E07000087,114513,109667,3849,997
E07000088,81952,78502,2754,696
E07000089,99408,94287,4072,1049
E07000090,124208,120080,3278,850
E07000091,175785,168264,5623,1898
E07000092,99756,95450,3255,1051
E07000093,130492,124703,4461,1328
E07000094,127445,115132,10239,2074
E07000095,99007,96073,2112,822
E07000096,155081,148529,4876,1676
E07000098,107827,102990,3119,1718
E07000099,133210,127615,4359,1236
E07000102,93771,89655,2725,1391
E07000103,102246,98353,2309,1584
E07000105,132747,127613,3846,1288
E07000106,157429,138367,15785,3277
E07000107,116755,113022,2743,990
E07000108,116410,111251,3944,1215
E07000109,106900,103378,2620,902
E07000110,175782,168788,5195,1799
E07000111,120514,115098,3655,1761
E07000112,109758,105060,3444,1254
E07000113,151677,146456,4194,1027
E07000114,140587,135224,4168,1195
E07000115,132203,126540,4333,1330
E07000116,115311,109082,4538,1691
E07000117,94646,91330,2647,669
E07000118,117732,112726,4124,882
E07000119,81374,77428,2890,1056
E07000120,82234,79373,2451,410
E07000121,142934,127155,13086,2693
E07000122,95757,92579,2366,812
E07000123,147837,138028,7811,1998
E07000124,61561,58275,2481,805
E07000125,70871,68109,2288,474
E07000126,111035,106596,3745,694
E07000127,117429,107983,8354,1092
E07000128,111946,106792,4155,999
E07000129,102925,99238,3057,630
E07000130,183971,165169,16281,2521
E07000131,97625,93066,3621,938
E07000132,113640,109099,3795,746
E07000133,51752,49404,1924,424
E07000134,104705,99856,4172,677
E07000135,57747,54525,2737,485
E07000136,70504,68301,1668,535
E07000137,142296,137344,4249,703
E07000138,103813,89309,13460,1044
E07000139,118074,112662,4725,687
E07000140,95122,92169,2398,555
