LTLA,ts0750001,ts0750002,ts0750003,ts0750004,ts0750005,ts0750006,ts0750007
E06000001,40930,13616,587,12783,8563,5235,146
E06000002,60262,19964,870,19837,11743,7280,568
E06000003,61638,20663,966,19089,12625,8049,246
E06000004,83757,25980,1248,27056,17062,11979,432
E06000005,48918,16714,637,14923,9966,6400,278
E06000006,55951,17702,733,19338,9658,8251,269
E06000007,90538,27364,1396,31949,15827,13390,612
E06000008,58767,17578,1027,27047,6800,5966,349
E06000009,64791,24588,928,17673,12833,8278,491
E06000010,115472,39446,2069,28236,32252,12785,684
E06000011,152065,45678,3000,50238,31622,20730,797
E06000012,69826,22718,1300,19152,17899,8393,364
E06000013,73173,21366,1326,24850,15381,9812,438
E06000014,85460,26640,1451,22325,21069,13178,797
E06000015,105653,33054,1987,34719,21723,13023,1147
E06000016,127389,35173,2172,59118,17965,10412,2549
E06000017,16694,4786,259,5841,3131,2573,104
E06000018,124745,41971,2188,34822,29299,14271,2194
E06000019,82827,25434,1873,27657,15856,11513,494
E06000020,76513,21205,1362,24770,17426,11186,564
E06000021,110400,36179,1882,35713,22289,13487,850
E06000022,79250,23077,1627,20003,21250,12482,811
E06000023,191638,57862,3432,41357,59575,27036,2376
E06000024,94649,29090,1761,25795,23200,14177,626
E06000025,118103,30747,2186,33804,31649,18819,898
E06000026,114558,37338,1856,28279,30063,16211,811
E06000027,62994,21883,1146,17063,13623,8805,474
E06000030,95862,27219,1784,30259,22311,13252,1037
E06000031,84533,23516,1685,31828,15769,10688,1047
E06000032,78940,21068,1744,39269,7923,7371,1565
E06000033,78344,26102,1429,20260,18749,10843,961
E06000034,66377,16180,1197,25475,13492,9075,958
E06000035,111459,30462,1957,33874,27183,16722,1261
E06000036,50248,13465,914,15730,11352,8117,670
E06000037,66655,18008,1264,20932,15051,10766,634
E06000038,67683,19262,1346,21962,14126,9366,1621
E06000039,52423,11948,1066,29449,3925,4169,1866
E06000040,60932,16715,1243,22422,9882,9490,1180
E06000041,69163,16265,1400,24656,14737,11167,938
E06000042,113102,29795,2146,38333,25303,15871,1654
E06000043,121402,42101,2131,20666,37945,16542,2017
E06000044,86155,27607,1396,21191,22631,12249,1081
E06000045,102291,33711,1835,27780,24091,13427,1447
E06000046,64776,22484,1236,17392,14412,8828,424
E06000047,234761,79529,3138,75220,45593,30112,1169
E06000049,174854,53136,2860,57959,34076,25675,1148
E06000050,155154,46887,2569,50982,30315,23365,1036
E06000051,139579,41428,2429,47795,27066,19961,900
E06000052,250533,76862,5129,67677,62994,36400,1471
E06000053,944,307,17,259,240,115,6
E06000054,215081,60574,4040,66988,48055,33803,1621
E06000055,74950,21448,1408,26477,13969,10560,1088
E06000056,120755,31171,2121,37289,28968,20003,1203
E06000057,146922,48149,2132,45997,30186,19826,632
E06000058,173842,56531,3504,48198,38471,25120,2018
E06000059,169261,51741,3463,52633,35212,25062,1150
E06000060,220327,57889,4443,78741,41737,34332,3185
E06000061,148918,40715,2702,46295,35760,22276,1170
E06000062,172640,46474,3353,58197,37118,25681,1817
E07000008,52473,16660,1236,12282,13041,7929,1325
E07000009,37203,10291,781,11192,8858,5781,300
E07000010,44083,12787,951,14486,9531,6035,293
E07000011,76879,21564,1393,22735,18598,11996,593
E07000012,66995,17574,1429,19904,16635,10797,656
E07000026,43971,14672,813,15707,7438,5163,178
E07000027,31259,11308,529,9402,6157,3730,133
E07000028,50662,17780,817,15566,9912,6354,233
E07000029,30789,10565,480,11885,4195,3527,137
E07000030,24609,7618,475,8858,4358,3172,128
E07000031,47657,15487,872,15368,9134,6535,261
E07000032,56277,17166,1035,15215,14655,7964,242
E07000033,35262,10539,621,10503,8921,4538,140
E07000034,48056,17066,780,12952,10951,6095,212
E07000035,32283,9890,539,10781,6314,4617,142
E07000036,50333,15551,844,12743,13976,6966,253
E07000037,40771,12944,695,11238,9565,6092,237
E07000038,45989,14305,808,14216,10437,6035,188
E07000039,45240,12249,842,13995,10983,6898,273
E07000040,66788,20056,1371,20053,14915,9979,414
E07000041,52554,17021,919,12360,13630,8070,554
E07000042,35633,10238,704,10307,8973,5205,206
E07000043,43197,13257,885,12110,10429,6293,223
E07000044,39335,11621,813,11359,9404,5854,284
E07000045,59836,18406,1212,16713,14445,8694,366
E07000046,30458,9330,646,8893,6997,4421,171
E07000047,24818,7300,529,7531,5526,3770,162
E07000061,45612,16205,819,11945,10121,6028,494
E07000062,40454,14441,769,8450,11174,5244,376
E07000063,43688,13539,795,10894,11604,6463,393
E07000064,42099,13713,866,12378,8773,6051,318
E07000065,68266,18745,1412,20788,15853,10928,540
E07000066,76362,21474,1357,23015,19124,10690,702
E07000067,64986,17774,1277,19002,16410,10077,446
E07000068,32342,9402,606,11406,5554,4995,379
E07000069,37388,10221,674,11593,8992,5625,283
E07000070,75403,21153,1478,23365,17022,11582,803
E07000071,79708,23075,1486,22587,19779,11845,936
E07000072,54557,14827,1205,19596,9625,8194,1110
E07000073,37857,10918,697,11095,9556,5107,484
E07000074,27900,7418,520,8585,6621,4534,222
E07000075,35557,9360,682,10634,8907,5697,277
E07000076,67451,23073,1315,19198,14647,8847,371
E07000077,36958,9228,718,11798,8447,6393,374
E07000078,52899,18432,838,13596,12076,7504,453
E07000079,40595,12261,750,13601,7634,6062,287
E07000080,37217,10579,765,11740,8423,5495,215
E07000081,55407,16754,984,17469,11953,7782,465
E07000082,52378,15257,1056,14697,12700,8262,406
E07000083,40931,11551,810,12982,9188,6163,237
E07000084,76645,20406,1355,23081,18988,12041,774
E07000085,52717,13910,1006,16727,11838,8806,430
E07000086,56924,15107,1019,16734,14766,8864,434
E07000087,48640,13009,816,14869,11539,8090,317
E07000088,35923,11443,509,9159,9313,5254,245
E07000089,39965,9836,720,12944,9090,6997,378
E07000090,53589,15957,879,14581,13948,7911,313
E07000091,77566,22737,1521,24341,16816,11620,531
E07000092,39303,10502,659,12860,8611,5897,774
E07000093,54708,14464,994,17823,12595,8386,446
E07000094,51717,14333,916,15610,11807,8597,454
E07000095,39849,10971,840,14748,6909,5711,670
E07000096,63412,17851,1193,18932,14485,10147,804
E07000098,42682,11527,1057,18450,5412,5052,1184
E07000099,56732,16903,1053,15454,13826,8906,590
E07000102,36859,9697,718,14081,5941,5612,810
E07000103,39628,11146,838,16377,5353,4910,1004
E07000105,53583,13861,983,17443,12456,8198,642
E07000106,63792,19046,1193,18202,14240,10231,880
E07000107,45696,11827,833,16320,9645,6437,634
E07000108,50548,15658,857,14753,11329,7577,374
E07000109,41724,11212,748,16106,7276,5796,586
E07000110,71210,18800,1331,23185,16009,11139,746
E07000111,49013,12990,985,15867,10522,8185,464
E07000112,48338,15728,822,13957,10447,6951,433
E07000113,60495,15957,1022,18009,15574,9505,428
